efK qt recall
1 0.5 0.92
2 0.6 0.92
3 0.7 0.94
4 0.7 0.96
5 0.9 0.98
6 0.9 1
7 1 0.99
8 1.1 0.99
9 1 1
10 1.1 1
11 1.1 1
12 1.2 1
13 1.1 1
14 1.1 1
15 1.2 1
16 1.2 1
17 1.2 0.99
18 1.2 0.99
19 1.2 0.99
20 1.2 0.97
21 1.4 0.97
22 1.3 0.97
23 1.3 0.97
24 1.4 0.97
25 1.4 0.97
26 1.4 0.97
27 1.4 0.97
28 1.4 0.97
29 1.4 0.97
30 1.4 0.97
31 1.5 0.97
32 1.5 0.97
33 1.5 0.97
34 1.5 0.97
35 1.5 0.97
36 1.5 0.97
37 1.5 0.97
38 1.5 0.97
39 1.5 0.97
40 1.5 0.97
41 1.5 0.95
42 1.4 0.95
43 1.5 0.95
44 1.4 0.95
45 1.5 0.95
46 1.6 0.97
47 1.6 0.97
48 1.7 0.97
49 1.6 0.97
50 1.7 0.98
51 1.8 0.98
52 1.8 0.98
53 1.8 0.98
54 1.8 0.98
55 1.8 0.98
56 1.8 0.98
57 1.9 0.98
58 1.9 0.98
59 1.9 0.98
60 1.9 0.98
61 1.9 0.98
62 2 0.98
63 1.9 0.98
64 1.9 0.98
65 2.1 0.98
66 2 0.98
67 2.2 0.98
68 2.2 0.98
69 2.2 1
70 2.1 1
71 2.2 1
72 2.2 1
73 2.2 1
74 2.2 1
75 2.2 1
76 2.2 1
77 2.2 1
78 2.2 1
79 2.2 1
80 2.3 1
81 2.3 1
82 2.4 1
83 2.4 1
84 2.4 1
85 2.4 1
86 2.4 1
87 2.3 1
88 2.3 1
89 2.4 1
90 2.5 1
91 2.4 1
92 2.4 1
93 2.5 1
94 2.5 1
95 2.5 1
96 2.5 1
97 2.5 1
98 2.5 1
99 2.5 1
100 2.5 1
120 2.9 0.99
140 3.5 0.99
160 3.8 0.99
180 4 0.99
200 4.3 0.99
220 4.6 0.99
240 5.1 0.99
260 5.4 0.99
280 7.5 1
300 7.9 1
350 8.8 1
400 9.8 1
450 10.9 1
500 12 1
550 13.1 1
600 14.3 1
650 15.5 1
700 16.8 1
750 18.1 1
800 19.2 1
