efK	qt:	Recall:	qt:	Recall:	qt:	Recall:	Recall	qt(ms)
1	0.00058	0.4431	0.00073	0.3484	0.00074	0.3866	0.4431	0.58
2	0.00086	0.4814	0.00077	0.4448	0.00081	0.5431	0.5431	0.86
3	0.00108	0.5652	0.0009	0.548	0.00088	0.5122	0.5652	1.08
4	0.00096	0.5295	0.00082	0.3922	0.00021	0	0.5295	0.96
5	0.0003	0	0.00085	0.3287	0.00106	0.5852	0.5852	0.3
6	0.00114	0.5381	0.00091	0.3277	0.00078	0.2594	0.5381	1.14
7	0.00137	0.5672	0.00115	0.561	0.00105	0.4645	0.5672	1.37
8	0.00135	0.5838	0.00112	0.4108	0.00125	0.3862	0.5838	1.35
9	0.00138	0.5455	0.00144	0.5856	0.00148	0.6022	0.6022	1.38
10	0.00152	0.5764	0.0013	0.4328	0.0015	0.5703	0.5764	1.52
11	0.00178	0.599	0.0016	0.5865	0.00172	0.5853	0.599	1.78
12	0.0018	0.5549	0.00181	0.5766	0.00166	0.5959	0.5959	1.8
13	0.00175	0.6055	0.00069	0.0085	0.00156	0.4994	0.6055	1.75
14	0.00202	0.6045	0.00149	0.4167	0.00182	0.589	0.6045	2.02
15	0.00203	0.6133	0.00197	0.6047	0.00195	0.5944	0.6133	2.03
16	0.00219	0.5944	0.00212	0.6204	0.0021	0.582	0.6204	2.19
17	0.00136	0.2293	0.00193	0.4648	0.00228	0.578	0.578	1.36
18	0.00214	0.4884	0.0024	0.6026	0.00244	0.5995	0.6026	2.14
19	0.00252	0.6236	0.00262	0.5502	0.00255	0.613	0.6236	2.52
20	0.00248	0.5501	0.00147	0.2348	0.00272	0.5983	0.5983	2.48
21	0.00244	0.4963	0.00065	0.0351	0.00135	0.1685	0.4963	2.44
22	0.00276	0.5998	0.00236	0.4478	0.00289	0.6283	0.6283	2.76
23	0.00301	0.6197	0.0029	0.5632	0.00292	0.6157	0.6197	3.01
24	0.00309	0.6135	0.00318	0.5935	0.00296	0.5891	0.6135	3.09
25	0.00139	0.1573	0.0018	0.231	0.00229	0.3565	0.3565	1.39
26	0.00306	0.5358	0.00346	0.641	0.00325	0.5985	0.641	3.06
27	0.00301	0.4986	0.00358	0.6401	0.00341	0.5962	0.6401	3.01
28	0.00356	0.6059	0.00376	0.6215	0.00358	0.6112	0.6215	3.56
29	0.00364	0.5838	0.00364	0.6026	0.00374	0.6095	0.6095	3.64
30	0.00328	0.5186	0.00355	0.5195	0.00394	0.6364	0.6364	3.28
31	0.00405	0.6404	0.00276	0.3909	0.00188	0.1937	0.6404	4.05
32	0.00414	0.5999	0.0037	0.5163	0.00247	0.297	0.5999	4.14
33	0.00355	0.4496	0.00453	0.6381	0.00472	0.638	0.6381	3.55
34	0.00349	0.4518	0.00335	0.4082	0.00457	0.6374	0.6374	3.49
35	0.00493	0.5993	0.00392	0.4738	0.00397	0.4616	0.5993	4.93
36	0.0052	0.638	0.00492	0.631	0.00483	0.6396	0.6396	5.2
37	0.00255	0.276	0.00265	0.2747	0.00461	0.5201	0.5201	2.55
38	0.00516	0.6211	0.00339	0.3411	0.00415	0.4447	0.6211	5.16
39	0.00519	0.6011	0.0042	0.429	0.0052	0.6073	0.6073	5.19
40	0.00457	0.4871	0.00563	0.6456	0.0045	0.4616	0.6456	4.57
41	0.00418	0.4149	0.00564	0.6318	0.00542	0.5863	0.6318	4.18
42	0.00146	0.0926	0.00321	0.3068	0.00611	0.6439	0.6439	1.46
43	0.00421	0.3811	0.00392	0.3592	0.00432	0.417	0.417	4.21
44	0.00619	0.6134	0.00593	0.6095	0.00354	0.2978	0.6134	6.19
45	0.00647	0.627	0.00656	0.6481	0.00593	0.5757	0.6481	6.47
46	0.00679	0.6574	0.00648	0.6026	0.00644	0.6103	0.6574	6.79
47	0.0062	0.5775	0.00541	0.4597	0.00597	0.5544	0.5775	6.2
48	0.00342	0.2595	0.00679	0.6047	0.00688	0.6211	0.6211	3.42
49	0.0064	0.5552	0.00621	0.5266	0.00594	0.5254	0.5552	6.4
50	0.00675	0.5673	0.00761	0.657	0.00768	0.6397	0.657	6.75
51	0.00753	0.6599	0.00778	0.6679	0.0058	0.4622	0.6679	7.53
52	0.00687	0.5563	0.00545	0.4233	0.00046	0.0013	0.5563	6.87
53	0.00536	0.4058	0.0045	0.3293	0.00531	0.4191	0.4191	5.36
54	0.00056	0.0013	0.00558	0.3893	0.00614	0.4459	0.4459	0.56
55	0.00529	0.3917	0.00201	0.1015	0.00305	0.1751	0.3917	5.29
56	0.00372	0.2381	0.00872	0.6513	0.00867	0.6338	0.6513	3.72
57	0.0091	0.6746	0.00182	0.0614	0.00865	0.6464	0.6746	9.1
58	0.00897	0.6567	0.00866	0.6202	0.00899	0.6485	0.6567	8.97
59	0.00849	0.5818	0.00226	0.1081	0.00523	0.3504	0.5818	8.49
60	0.00944	0.6413	0.00864	0.5815	0.00702	0.4567	0.6413	9.44
61	0.00585	0.3619	0.0097	0.662	0.00901	0.5769	0.662	5.85
62	0.00987	0.6536	0.00914	0.6154	0.00823	0.5368	0.6536	9.87
63	0.01026	0.6649	0.00242	0.0875	0.00308	0.141	0.6649	10.26
64	0.01123	0.6762	0.0109	0.655	0.00443	0.2293	0.6762	11.23
65	0.00674	0.3844	0.01037	0.5967	0.01044	0.5872	0.5967	6.74
66	0.01161	0.6456	0.0017	0.0434	0.00808	0.4538	0.6456	11.61
67	0.00991	0.5536	0.00874	0.4565	0.01153	0.6305	0.6305	9.91
68	0.01193	0.6506	0.011	0.5956	0.00627	0.31	0.6506	11.93
69	0.00743	0.3834	0.00643	0.3242	0.01086	0.5894	0.5894	7.43
70	0.01267	0.6772	0.01184	0.619	0.01237	0.6469	0.6772	12.67
71	0.01142	0.5907	0.01212	0.6383	0.01328	0.7001	0.7001	11.42
72	0.00913	0.44	0.0028	0.1149	0.00802	0.3936	0.44	9.13
73	0.01284	0.6325	0.0117	0.5846	0.01215	0.6063	0.6325	12.84
74	0.00493	0.2114	0.0032	0.1291	0.00758	0.3517	0.3517	4.93
75	0.00816	0.3805	0.00206	0.0574	0.01018	0.505	0.505	8.16
76	0.01331	0.6271	0.01458	0.7004	0.0061	0.2627	0.7004	13.31
77	0.0004	0	0.00552	0.2339	0.00867	0.4046	0.4046	0.4
78	0.01498	0.6786	0.01364	0.6259	0.01316	0.5994	0.6786	14.98
79	0.01505	0.6644	0.00921	0.3855	0.01451	0.6511	0.6644	15.05
80	0.01341	0.5786	0.01501	0.6642	0.01215	0.5182	0.6642	13.41
81	0.01357	0.5537	0.0078	0.3163	0.01536	0.6511	0.6511	13.57
82	0.01544	0.6433	0.01535	0.6431	0.01541	0.6613	0.6613	15.44
83	0.01483	0.6109	0.00898	0.3617	0.01147	0.475	0.6109	14.83
