efK	qt	recall	qt(ms)
1	0.001	0.92	1
2	0.001	0.92	1
3	0	0.94	0
4	0.002	0.96	2
5	0.001	0.98	1
6	0.001	1	1
7	0.001	0.99	1
8	0.001	0.99	1
9	0.001	1	1
10	0.001	1	1
11	0.001	1	1
12	0.002	1	2
13	0.001	1	1
14	0.001	1	1
15	0.001	1	1
16	0.002	1	2
17	0.001	0.99	1
18	0.001	0.99	1
19	0.001	0.99	1
20	0.002	0.97	2
21	0.001	0.97	1
22	0.001	0.97	1
23	0.002	0.97	2
24	0.001	0.97	1
25	0.002	0.97	2
26	0.002	0.97	2
27	0.001	0.97	1
28	0.001	0.97	1
29	0.002	0.97	2
30	0.001	0.97	1
31	0.002	0.97	2
32	0.001	0.97	1
33	0.002	0.97	2
34	0.002	0.97	2
35	0.001	0.97	1
36	0.001	0.97	1
37	0.002	0.97	2
38	0.001	0.97	1
39	0.001	0.97	1
40	0.002	0.97	2
41	0.002	0.95	2
42	0.001	0.95	1
43	0.002	0.95	2
44	0.001	0.95	1
45	0.002	0.95	2
46	0.001	0.97	1
47	0.002	0.97	2
48	0.002	0.97	2
49	0.001	0.97	1
50	0.002	0.98	2
51	0.002	0.98	2
52	0.002	0.98	2
53	0.002	0.98	2
54	0.002	0.98	2
55	0.001	0.98	1
56	0.001	0.98	1
57	0.002	0.98	2
58	0.002	0.98	2
59	0.002	0.98	2
60	0.002	0.98	2
61	0.002	0.98	2
62	0.002	0.98	2
63	0.002	0.98	2
64	0.002	0.98	2
65	0.002	0.98	2
66	0.002	0.98	2
67	0.003	0.98	3
68	0.002	0.98	2
69	0.002	1	2
70	0.002	1	2
71	0.002	1	2
72	0.003	1	3
73	0.002	1	2
74	0.002	1	2
75	0.003	1	3
76	0.002	1	2
77	0.002	1	2
78	0.002	1	2
79	0.002	1	2
80	0.003	1	3
81	0.002	1	2
82	0.003	1	3
83	0.002	1	2
84	0.002	1	2
85	0.003	1	3
86	0.003	1	3
87	0.002	1	2
88	0.002	1	2
89	0.003	1	3
90	0.002	1	2
91	0.003	1	3
92	0.002	1	2
93	0.003	1	3
94	0.002	1	2
95	0.003	1	3
96	0.002	1	2
97	0.003	1	3
98	0.002	1	2
99	0.003	1	3
100	0.002	1	2
120	0.004	0.99	4
140	0.003	0.99	3
160	0.004	0.99	4
180	0.004	0.99	4
200	0.004	0.99	4
220	0.005	0.99	5
240	0.005	0.99	5
260	0.006	0.99	6
280	0.007	1	7
300	0.008	1	8
350	0.009	1	9
400	0.01	1	10
450	0.011	1	11
500	0.012	1	12
550	0.013	1	13
600	0.014	1	14
650	0.015	1	15
700	0.017	1	17
750	0.018	1	18
800	0.019	1	19
