efK	qt:	Recall:	qt(ms)
1	0	0.67	0
2	0.002	0.73	2
3	0.001	0.7	1
4	0.001	0.69	1
5	0.002	0.73	2
6	0.001	0.74	1
7	0.002	0.74	2
8	0.002	0.75	2
9	0.002	0.76	2
10	0.003	0.76	3
11	0.003	0.78	3
12	0.002	0.78	2
13	0.002	0.79	2
14	0.002	0.79	2
15	0.003	0.8	3
16	0.003	0.79	3
17	0.003	0.79	3
18	0.005	0.79	5
19	0.006	0.79	6
20	0.006	0.79	6
21	0.007	0.79	7
22	0.007	0.79	7
23	0.008	0.79	8
24	0.008	0.8	8
25	0.008	0.8	8
26	0.008	0.8	8
27	0.01	0.84	10
28	0.011	0.84	11
29	0.013	0.85	13
30	0.012	0.84	12
31	0.013	0.84	13
32	0.016	0.85	16
33	0.015	0.85	15
34	0.015	0.85	15
35	0.015	0.85	15
36	0.016	0.85	16
37	0.015	0.85	15
38	0.02	0.85	20
39	0.019	0.85	19
40	0.02	0.85	20
41	0.018	0.85	18
42	0.019	0.85	19
43	0.019	0.85	19
44	0.019	0.85	19
45	0.02	0.85	20
46	0.022	0.85	22
47	0.025	0.85	25
48	0.024	0.85	24
49	0.022	0.85	22
50	0.025	0.85	25
51	0.026	0.85	26
52	0.026	0.85	26
53	0.025	0.85	25
54	0.027	0.85	27
55	0.026	0.85	26
56	0.027	0.85	27
57	0.026	0.85	26
58	0.027	0.85	27
59	0.028	0.85	28
60	0.032	0.85	32
61	0.032	0.85	32
62	0.029	0.85	29
63	0.028	0.85	28
64	0.029	0.85	29
65	0.031	0.84	31
66	0.037	0.85	37
67	0.035	0.85	35
68	0.035	0.85	35
69	0.037	0.85	37
70	0.036	0.85	36
71	0.036	0.85	36
72	0.036	0.85	36
73	0.036	0.85	36
74	0.041	0.85	41
75	0.039	0.85	39
76	0.038	0.85	38
77	0.035	0.84	35
78	0.036	0.84	36
79	0.035	0.84	35
80	0.041	0.87	41
81	0.043	0.87	43
82	0.044	0.87	44
83	0.045	0.87	45
84	0.047	0.87	47
85	0.053	0.87	53
86	0.054	0.87	54
87	0.055	0.87	55
88	0.055	0.87	55
89	0.056	0.87	56
90	0.057	0.87	57
91	0.058	0.87	58
92	0.055	0.87	55
93	0.057	0.87	57
94	0.059	0.87	59
95	0.058	0.87	58
96	0.058	0.87	58
97	0.059	0.87	59
98	0.058	0.87	58
99	0.056	0.87	56
100	0.058	0.87	58
120	0.081	0.87	81
140	0.105	0.88	105
160	0.157	0.88	157
180	0.167	0.88	167
200	0.205	0.88	205
220	0.224	0.88	224
240	0.27	0.88	270
260	0.277	0.88	277
280	0.35	0.88	350
300	0.418	0.88	418
350	0.582	0.88	582
400	0.717	0.9	717
450	0.918	0.9	918
500	1.041	0.9	1041
550	1.154	0.9	1154
600	1.344	0.9	1344
650	1.527	0.9	1527
700	1.647	0.9	1647
750	1.737	0.9	1737
800	1.899	0.9	1899
